Early BCE/CE,Late BCE/CE,Biological Taxonomy,Taxonomic Identifier,Anatomical Identification,Element,Taxonomic ID,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,scapula,Scapula,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,scapula,Scapula,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,scapula,Scapula,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,scapula,Scapula,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,scapula,Scapula,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,scapula,Scapula,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,scapula,Scapula,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,scapula,Scapula,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,scapula,Scapula,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Ovis orientalis,Ovis orientalis,scapula,Scapula,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Sheep/goat,Sheep or goat,mandible,Mandible with teeth,Ovis/Capra,,,,,,,,,,,,,,,,,,,,
-11900,-11700,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes,radius bone,Radius,Vulpes vulpes,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
